# flow-cover sweep, tree e78c86d, 2026-09-08T15:26Z
# name rounds status work nodes | root line
mod010 0 optimal 18365795 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
mod010 1 optimal 18402050 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
mod010 2 optimal 18438305 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
mod010 4 optimal 18474560 1 | root: relaxation 6548 after 45 cuts, 3 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 3 MIR
p0033 0 optimal 5323016 329 | root: relaxation 2947.4730168884266 after 42 cuts, 11 of them covers, 1 cliques, 0 zero-half, 0 flow covers and 22 MIR
p0033 1 optimal 5323261 329 | root: relaxation 2947.4730168884266 after 42 cuts, 11 of them covers, 1 cliques, 0 zero-half, 0 flow covers and 22 MIR
p0033 2 optimal 5323506 329 | root: relaxation 2947.4730168884266 after 42 cuts, 11 of them covers, 1 cliques, 0 zero-half, 0 flow covers and 22 MIR
p0033 4 optimal 5323996 329 | root: relaxation 2947.4730168884266 after 42 cuts, 11 of them covers, 1 cliques, 0 zero-half, 0 flow covers and 22 MIR
p0201 0 optimal 198334417 797 | root: relaxation 7125 after 89 cuts, 15 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 54 MIR
p0201 1 optimal 198338597 797 | root: relaxation 7125 after 89 cuts, 15 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 54 MIR
p0201 2 optimal 198342777 797 | root: relaxation 7125 after 89 cuts, 15 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 54 MIR
p0201 4 optimal 198351137 797 | root: relaxation 7125 after 89 cuts, 15 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 54 MIR
p0282 0 optimal 359137555 4997 | root: relaxation 253933.31789691403 after 210 cuts, 68 of them covers, 18 cliques, 0 zero-half, 0 flow covers and 98 MIR
p0282 1 optimal 359142010 4997 | root: relaxation 253933.31789691403 after 210 cuts, 68 of them covers, 18 cliques, 0 zero-half, 0 flow covers and 98 MIR
p0282 2 optimal 359146465 4997 | root: relaxation 253933.31789691403 after 210 cuts, 68 of them covers, 18 cliques, 0 zero-half, 0 flow covers and 98 MIR
p0282 4 optimal 359155375 4997 | root: relaxation 253933.31789691403 after 210 cuts, 68 of them covers, 18 cliques, 0 zero-half, 0 flow covers and 98 MIR
rgn 0 optimal 158550175 4233 | root: relaxation 67.999998799999972 after 101 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 83 MIR
rgn 1 optimal 158551659 4233 | root: relaxation 67.999998799999972 after 101 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 83 MIR
rgn 2 optimal 158553143 4233 | root: relaxation 67.999998799999972 after 101 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 83 MIR
rgn 4 optimal 158556111 4233 | root: relaxation 67.999998799999972 after 101 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 83 MIR
stein27 0 optimal 119684299 9181 | root: relaxation 13 after 21 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
stein27 1 optimal 119685200 9181 | root: relaxation 13 after 21 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
stein27 2 optimal 119686101 9181 | root: relaxation 13 after 21 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
stein27 4 optimal 119686101 9181 | root: relaxation 13 after 21 cuts, 0 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
stein45 0 optimal 2819078315 120987 | root: relaxation 22 after 36 cuts, 1 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
stein45 1 optimal 2819080759 120987 | root: relaxation 22 after 36 cuts, 1 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
stein45 2 optimal 2819083203 120987 | root: relaxation 22 after 36 cuts, 1 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
stein45 4 optimal 2819083203 120987 | root: relaxation 22 after 36 cuts, 1 of them covers, 0 cliques, 0 zero-half, 0 flow covers and 0 MIR
rounds 1   geomean 1.012x over 24, 0 better, 5 worse, 0 past 2x, 0 unfinished
rounds 2   geomean 1.017x over 24, 1 better, 4 worse, 0 past 2x, 0 unfinished
rounds 4   geomean 1.017x over 24, 1 better, 4 worse, 0 past 2x, 0 unfinished
