# probing sweep, tree ebd591c, 2026-09-08T12:40Z
# name arm status work nodes | probing line
mod010 0 optimal 19555670 1 | probing: 39 of 39 fractional binaries probed, 0 fixed, 0 other bounds implied, 2156193 work against the root's 10300496
mod010 0.5 optimal 19555670 1 | probing: 39 of 39 fractional binaries probed, 0 fixed, 0 other bounds implied, 2156193 work against the root's 10300496
mod010 1 optimal 19555670 1 | probing: 39 of 39 fractional binaries probed, 0 fixed, 0 other bounds implied, 2156193 work against the root's 10300496
mod010 2 optimal 19555670 1 | probing: 39 of 39 fractional binaries probed, 0 fixed, 0 other bounds implied, 2156193 work against the root's 10300496
mod010 base optimal 17399477 1 | 
p0033 0 optimal 5327738 329 | probing: 8 of 8 fractional binaries probed, 0 fixed, 0 other bounds implied, 4407 work against the root's 12636
p0033 0.5 optimal 5327738 329 | probing: 8 of 8 fractional binaries probed, 0 fixed, 0 other bounds implied, 4407 work against the root's 12636
p0033 1 optimal 5327738 329 | probing: 8 of 8 fractional binaries probed, 0 fixed, 0 other bounds implied, 4407 work against the root's 12636
p0033 2 optimal 5327738 329 | probing: 8 of 8 fractional binaries probed, 0 fixed, 0 other bounds implied, 4407 work against the root's 12636
p0033 base optimal 5323331 329 | 
p0201 0 optimal 371887377 1369 | probing: 20 of 20 fractional binaries probed, 0 fixed, 6 other bounds implied, 157777 work against the root's 66608
p0201 0.5 optimal 371762961 1369 | probing: 4 of 20 fractional binaries probed before the cap, 0 fixed, 6 other bounds implied, 33361 work against the root's 66608
p0201 1 optimal 371801841 1369 | probing: 9 of 20 fractional binaries probed before the cap, 0 fixed, 6 other bounds implied, 72241 work against the root's 66608
p0201 2 optimal 371864049 1369 | probing: 17 of 20 fractional binaries probed before the cap, 0 fixed, 6 other bounds implied, 134449 work against the root's 66608
p0201 base optimal 198336670 797 | 
p0282 0 optimal 359363414 4997 | probing: 26 of 26 fractional binaries probed, 0 fixed, 0 other bounds implied, 220846 work against the root's 50256
p0282 0.5 optimal 359175587 4997 | probing: 4 of 26 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 33019 work against the root's 50256
p0282 1 optimal 359193341 4997 | probing: 6 of 26 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 50773 work against the root's 50256
p0282 2 optimal 359244114 4997 | probing: 12 of 26 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 101546 work against the root's 50256
p0282 base optimal 359142568 4997 | 
rgn 0 optimal 158597023 4233 | probing: 18 of 18 fractional binaries probed, 0 fixed, 0 other bounds implied, 52056 work against the root's 81028
rgn 0.5 optimal 158588347 4233 | probing: 15 of 18 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 43380 work against the root's 81028
rgn 1 optimal 158597023 4233 | probing: 18 of 18 fractional binaries probed, 0 fixed, 0 other bounds implied, 52056 work against the root's 81028
rgn 2 optimal 158597023 4233 | probing: 18 of 18 fractional binaries probed, 0 fixed, 0 other bounds implied, 52056 work against the root's 81028
rgn base optimal 158544967 4233 | 
stein27 0 optimal 119709623 9181 | probing: 21 of 21 fractional binaries probed, 0 fixed, 0 other bounds implied, 24801 work against the root's 30516
stein27 0.5 optimal 119700175 9181 | probing: 13 of 21 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 15353 work against the root's 30516
stein27 1 optimal 119709623 9181 | probing: 21 of 21 fractional binaries probed, 0 fixed, 0 other bounds implied, 24801 work against the root's 30516
stein27 2 optimal 119709623 9181 | probing: 21 of 21 fractional binaries probed, 0 fixed, 0 other bounds implied, 24801 work against the root's 30516
stein27 base optimal 119684822 9181 | 
stein45 0 optimal 2819189114 120987 | probing: 35 of 35 fractional binaries probed, 0 fixed, 0 other bounds implied, 109395 work against the root's 117216
stein45 0.5 optimal 2819140394 120987 | probing: 19 of 35 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 60675 work against the root's 117216
stein45 1 optimal 2819189114 120987 | probing: 35 of 35 fractional binaries probed, 0 fixed, 0 other bounds implied, 109395 work against the root's 117216
stein45 2 optimal 2819189114 120987 | probing: 35 of 35 fractional binaries probed, 0 fixed, 0 other bounds implied, 109395 work against the root's 117216
stein45 base optimal 2819079719 120987 | 
cap 0.5  geomean 1.108x over 24, 0 better, 7 worse, 1 past 2x, 0 unfinished
cap 1    geomean 1.109x over 24, 0 better, 7 worse, 1 past 2x, 0 unfinished
cap 2    geomean 1.109x over 24, 0 better, 8 worse, 1 past 2x, 0 unfinished
cap 0    geomean 1.109x over 24, 0 better, 8 worse, 1 past 2x, 0 unfinished
